"URI","Title","RecordId","Authority","Degree","Deity","Denomination","Dynasty","Engraver","Era","Issuer","Maker","Manufacture","Material","Mint","Obverse Legend","Obverse Type","Object Type","Portrait","Reference","Region","Reverse Legend","Reverse Type","Year","Date Record Modified"
"http://numismatics.org/ocre/id/ric.9.sis.23B","RIC IX Siscia 23B","ric.9.sis.23B","Valentinian II","","","Light miliarensis","","","","","","Struck","Silver","Siscia","D N THEODO-SIVS P F AVG","Bust of Theodosius I, pearl-diademed, draped and cuirassed, right","Coin","Theodosius I","","Pannonia","VIRTVS-EXERCITVS","Emperor, head left, standing facing, holding labarum in right hand and resting left on shield","378|383","2016-10-24T08:48:59Z"
"http://numismatics.org/ocre/id/ric.9.sis.23A","RIC IX Siscia 23A","ric.9.sis.23A","Valentinian II","","","Light miliarensis","","","","","","Struck","Silver","Siscia","D N GRATIA-NVS P F AVG","Bust of Gratian, pearl-diademed, draped and cuirassed, right","Coin","Gratian","","Pannonia","VIRTVS-EXERCITVS","Emperor, head left, standing facing, holding labarum in right hand and resting left on shield","378|383","2016-10-24T08:48:59Z"
"http://numismatics.org/ocre/id/ric.4.aem.23","RIC IV Aemilian 23","ric.4.aem.23","Aemilian","","Pax","Antoninianus","","","","","","Struck","Silver","Uncertain value","IMP M AEMIL AEMILIANVS P F AVG","Bust of Aemilian, radiate, draped, cuirassed, right","Coin","Aemilian","","Uncertain value","PAXS AVG","Pax, draped, running left, holding branch in right hand and transverse sceptre in left hand","253","2017-02-08T11:43:51Z"
"http://numismatics.org/ocre/id/ric.9.sis.22A","RIC IX Siscia 22A","ric.9.sis.22A","Valentinian II","","Victory","AE3","","","","","","Struck","Bronze","Siscia","D N VALEN-S P F AVG","Bust of Valens, pearl-diademed, draped and cuirassed, right","Coin","Valens","","Pannonia","SECVRITAS-REIPVBLICAE","Victory advancing left, holding wreath and palm","375|378","2016-10-24T08:48:58Z"
"http://numismatics.org/ocre/id/ric.9.sis.21C","RIC IX Siscia 21C","ric.9.sis.21C","Valentinian II","","","AE3","","","","","","Struck","Bronze","Siscia","D N VALENTINIANVS P F AVG","Bust of Valentinian II, pearl-diademed, draped and cuirassed, right","Coin","Valentinian II","","Pannonia","GLORIA RO-MANORVM","Emperor advancing right, dragging captive with right hand and holding labarum in left","375|378","2016-10-24T08:48:57Z"
"http://numismatics.org/ocre/id/ric.9.sis.21B","RIC IX Siscia 21B","ric.9.sis.21B","Valentinian II","","","AE3","","","","","","Struck","Bronze","Siscia","D N GRATIA-NVS P F AVG","Bust of Gratian, pearl-diademed, draped and cuirassed, right","Coin","Gratian","","Pannonia","GLORIA RO-MANORVM","Emperor advancing right, dragging captive with right hand and holding labarum in left","375|378","2016-10-24T08:48:57Z"
"http://numismatics.org/ocre/id/ric.7.ar.193","RIC VII Arelate 193","ric.7.ar.193","Constantine I","","Victory","AE2|AE3","","","","","","Struck","Bronze","Arelate","IMP CONSTAN-TINVS MAX AVG","Bust of Constantine I, laureate, helmeted, cuirassed, right","Coin","Constantine I","","Gallia","VICTORIAE LAETAE PRINC PERP","Two Victories, winged, draped, facing each other, holding a shield inscribed VOT/PR supported by a column","319","2016-06-24T16:37:15Z"
"http://numismatics.org/ocre/id/ric.9.sis.21A","RIC IX Siscia 21A","ric.9.sis.21A","Valentinian II","","","AE3","","","","","","Struck","Bronze","Siscia","D N VALEN-S P F AVG","Bust of Valens, pearl-diademed, draped and cuirassed, right","Coin","Valens","","Pannonia","GLORIA RO-MANORVM","Emperor advancing right, dragging captive with right hand and holding labarum in left","375|378","2016-10-24T08:48:56Z"
"http://numismatics.org/ocre/id/ric.9.sis.20C","RIC IX Siscia 20C","ric.9.sis.20C","Valentinian II","","Victory|Roma","Siliqua","","","","","","Struck","Silver","Siscia","D N VALENTINIANVS P F AVG","Bust of Valentinian II, pearl-diademed, draped and cuirassed, right","Coin","Valentinian II","","Pannonia","VRBS-ROMA","Roma seated left on throne, holding Victory on globe and reversed spear","375|378","2016-10-24T08:48:55Z"
"http://numismatics.org/ocre/id/ric.9.sis.20B","RIC IX Siscia 20B","ric.9.sis.20B","Valentinian II","","Victory|Roma","Siliqua","","","","","","Struck","Silver","Siscia","D N GRATIA-NVS P F AVG","Bust of Gratian, pearl-diademed, draped and cuirassed, right","Coin","Gratian","","Pannonia","VRBS-ROMA","Roma seated left on throne, holding Victory on globe and reversed spear","375|378","2016-10-24T08:48:55Z"
"http://numismatics.org/ocre/id/ric.9.sis.20A","RIC IX Siscia 20A","ric.9.sis.20A","Valentinian II","","Victory|Roma","Siliqua","","","","","","Struck","Silver","Siscia","D N VALEN-S P F AVG","Bust of Valens, pearl-diademed, draped and cuirassed, right","Coin","Valens","","Pannonia","VRBS-ROMA","Roma seated left on throne, holding Victory on globe and reversed spear","375|378","2016-10-24T08:48:55Z"
"http://numismatics.org/ocre/id/ric.9.sis.1B","RIC IX Siscia 1B","ric.9.sis.1B","Valentinian I","","Victory","Solidus","","","","","","Struck","Gold","Siscia","D N VALEN-S P F AVG","Bust of Valens, pearl-diademed, draped in imperial mantle, left, holding mappa and sceptre","Coin","Valens","","Pannonia","SALVS-REIP","Emperor, head right, standing facing, holding labarum and Victory on globe, and spurning with right foot a kneeling captive","364|367","2016-10-24T08:48:55Z"
"http://numismatics.org/ocre/id/ric.9.sis.1A","RIC IX Siscia 1A","ric.9.sis.1A","Valentinian I","","Victory","Solidus","","","","","","Struck","Gold","Siscia","D N VALENTINI-ANVS P F AVG","Bust of Valentinian I, pearl-diademed, draped in imperial mantle, left, holding mappa and sceptre","Coin","Valentinian I","","Pannonia","SALVS-REIP","Emperor, head right, standing facing, holding labarum and Victory on globe, and spurning with right foot a kneeling captive","364|367","2016-10-24T08:48:55Z"
"http://numismatics.org/ocre/id/ric.2.hdn.966d_as","RIC II Hadrian 966d (as)","ric.2.hdn.966d_as","Hadrian","","Sicilia","As","","","","","","Struck","Bronze","Rome","HADRIANVS AVG COS III P P","Bust of Hadrian, laureate, right","Coin","Hadrian","","Italy","RESTITVTORI SICILIAE S C","Hadrian, togate, standing left, on right, holding roll in left hand and extending right hand to raise up Sicilia, wearing triquetra on head, kneeling, facing him, on left, holding corn-ears in left hand","134|138","2017-07-17T15:39:50Z"
"http://numismatics.org/ocre/id/ric.9.sis.19B","RIC IX Siscia 19B","ric.9.sis.19B","Valentinian II","","","Siliqua","","","","","","Struck","Silver","Siscia","D N GRATIA-NVS P F AVG","Bust of Gratian, pearl-diademed, draped and cuirassed, right","Coin","Gratian","","Pannonia","","VOT/XV/MVLT/XX within laurel wreath","375|378","2016-10-24T08:48:53Z"
"http://numismatics.org/ocre/id/ric.9.sis.19A","RIC IX Siscia 19A","ric.9.sis.19A","Valentinian II","","","Siliqua","","","","","","Struck","Silver","Siscia","D N VALEN-S P F AVG","Bust of Valens, pearl-diademed, draped and cuirassed, right","Coin","Valens","","Pannonia","","VOT/XV/MVLT/XX within laurel wreath","375|378","2016-10-24T08:48:53Z"
"http://numismatics.org/ocre/id/ric.9.sis.18","RIC IX Siscia 18","ric.9.sis.18","Valentinian II","","","Siliqua","","","","","","Struck","Silver","Siscia","D N GRATIA-NVS P F AVG","Bust of Gratian, pearl-diademed, draped and cuirassed, right","Coin","Gratian","","Pannonia","","VOT/X/MVLT/XX within laurel wreath","375|378","2016-10-24T08:48:52Z"
"http://numismatics.org/ocre/id/ric.9.sis.17","RIC IX Siscia 17","ric.9.sis.17","Valentinian II","","Victory","Siliqua","","","","","","Struck","Silver","Siscia","D N VALENTINIANVS P F AVG","Bust of Valentinian II, pearl-diademed, draped and cuirassed, right","Coin","Valentinian II","","Pannonia","VICTORIA-AVGGG","Victory advancing right, holding wreath in either hand","375|378","2016-10-24T08:48:52Z"
"http://numismatics.org/ocre/id/ric.9.sis.16B","RIC IX Siscia 16B","ric.9.sis.16B","Valentinian II","","","Heavy miliarensis","","","","","","Struck","Silver","Siscia","D N GRATIA-NVS P F AVG","Bust of Gratian, pearl-diademed, draped and cuirassed, right","Coin","Gratian","","Pannonia","","VOTIS/XV/MVLTIS/XX within laurel wreath","375|378","2016-10-24T08:48:52Z"
"http://numismatics.org/ocre/id/ric.9.sis.16A","RIC IX Siscia 16A","ric.9.sis.16A","Valentinian II","","","Heavy miliarensis","","","","","","Struck","Silver","Siscia","D N VALEN-S P F AVG","Bust of Valens, pearl-diademed, draped and cuirassed, right","Coin","Valens","","Pannonia","","VOTIS/XV/MVLTIS/XX within laurel wreath","375|378","2016-10-24T08:48:52Z"
"http://numismatics.org/ocre/id/ric.9.sis.15C","RIC IX Siscia 15C","ric.9.sis.15C","Valentinian I","","Victory","AE3","","","","","","Struck","Bronze","Siscia","D N GRATIA-NVS P F AVG","Bust of Gratian, pearl-diademed, draped and cuirassed, right","Coin","Gratian","","Pannonia","SECVRITAS-REIPVBLICAE","Victory advancing left, holding wreath and palm","367|375","2016-10-24T08:48:51Z"
"http://numismatics.org/ocre/id/ric.2.hdn.963d_dupondius","RIC II Hadrian 963d (dupondius)","ric.2.hdn.963d_dupondius","Hadrian","","Phrygia","Dupondius","","","","","","Struck","Bronze","Rome","HADRIANVS AVG COS III P P","Bust of Hadrian, laureate, right","Coin","Hadrian","","Italy","RESTITVTORI PHRYGIAE S C","Hadrian, togate, standing left, on right, holding roll in left hand and extending right hand to raise up Phrygia, wearing Phrygian cap, kneeling, facing him, on left, holding curved sword in left hand","134|138","2017-07-17T15:39:50Z"
